date,firm_name,amount_chf,type,location,firm_name_norm,firm_name_clean,ehraid,uid,legal_seat
2021-02-17,condenZero AG,100'000,Convertible loan,Zürich,condenzero ag,condenzero ag,1385255.0,CHE465078564,Zürich
2021-02-19,Agile Wind Power AG,2'060'000,Equity,Dübendorf,agile wind power ag,agile wind power ag,974183.0,CHE115480885,Dübendorf
2021-02-22,Readily3D SA,540'000,Grant,Lausanne,readily3d sa,readily3d sa,1436422.0,CHE261606782,Ecublens (VD)
2021-02-23,Neocarbons SA,100'000,Loan,Fällanden,neocarbons sa,neocarbons sa,1391697.0,CHE310635199,Montreux
2021-02-24,BioVersys AG,2'972'830,Grant,Basel,bioversys ag,bioversys ag,922224.0,CHE114512761,Basel
2021-02-25,Carvolution AG,15'000'000,Equity,Bannwil,carvolution ag,carvolution ag,1341384.0,CHE145386618,Bannwil
2021-02-26,Zircon Medical AG,Undisclosed,Equity,Altendorf,zircon medical ag,zircon medical ag,1404939.0,CHE146866269,Altendorf
2021-02-28,Authena AG,1'250'000,Convertible loan,Zug,authena ag,authena ag,1334045.0,CHE300727032,Zug
2021-02-28,AgroSustain SA,Undisclosed,Equity,Renens,agrosustain sa,agrosustain sa,1350033.0,CHE384295771,Renens (VD)
2021-02-28,Urbio SA,100'000,Loan,Sion,urbio sa,urbio sa,1424654.0,CHE314198329,Sion
2021-03-01,HekeTiss SA,268'336,Grant,Plan-les-Ouates,heketiss sa,heketiss sa,1513198.0,CHE488565326,Plan-les-Ouates
2021-03-01,OxyPrem AG,125'000,Convertible loan,Zürich,oxyprem ag,oxyprem ag,1364086.0,CHE179226970,Zürich
2021-03-01,HOPR Services AG,3'248'805,Equity,Zürich,hopr services ag,hopr services ag,1436274.0,CHE439833800,Zürich
2021-03-01,Logmind SA,200'000,Equity,Lausanne,logmind sa,logmind sa,1372386.0,CHE152560583,Ecublens (VD)
2021-03-01,ShadeMe Sàrl,100'000,Grant,Lausanne,shademe sàrl,shademe sàrl,1502679.0,CHE153141378,Ecublens (VD)
2021-03-01,Cybera Global AG,1'000'000,Convertible loan,Zurich,cybera global ag,cybera global ag,1434914.0,CHE145311336,Zürich
2021-03-01,Urban Sympheny AG,150'000,Revenue,Dübendorf,urban sympheny ag,urban sympheny ag,1434014.0,CHE401199461,Winterthur
2021-03-01,autonomyo Sàrl,100'000,Grant,Epalinges,autonomyo sàrl,autonomyo sàrl,1480101.0,CHE458281870,Assens
2021-03-03,LIBREC AG,40'000,Convertible loan,Biberist,librec ag,librec ag,1471718.0,CHE294128045,Biberist
2021-03-03,PerfectHair AG,Undisclosed,Equity,Wallisellen,perfecthair ag,perfecthair ag,906775.0,CHE114270049,Wallisellen
2021-03-03,Axino Solutions AG,Undisclosed,Equity,Solothum,axino solutions ag,axino solutions ag,1254310.0,CHE377630083,Solothurn
2021-03-03,DeepPsy AG,40'000,Convertible loan,Zollikerberg,deeppsy ag,deeppsy ag,1500872.0,CHE390591982,Zollikon
2021-03-04,helvengo AG,Undisclosed,Equity,Zürich,helvengo ag,helvengo ag,1457872.0,CHE428533794,Zürich
2021-03-05,Apiax AG,Undisclosed,Equity,Zürich,apiax ag,apiax ag,1305499.0,CHE414461970,Zürich
2021-03-08,Planted Foods AG,17'000'000,Equity,Kemptthal,planted foods ag,planted foods ag,1399703.0,CHE398606506,Lindau
2021-03-09,Alithea Genomics SA,100'000,Loan,Cossonay-Ville,alithea genomics sa,alithea genomics sa,1438234.0,CHE218846606,Epalinges
2021-03-09,Concordium AG,15'000'000,ICO,Zug,concordium ag,concordium ag,1353229.0,CHE473758684,Cham
2021-03-09,Okomo AG,Undisclosed,Equity,Wollerau,okomo ag,okomo ag,1342057.0,CHE328837288,Wollerau
2021-03-10,Airica AG,Undisclosed,Equity,Schwerzenbach,airica ag,airica ag,1438619.0,CHE187572457,Zürich
2021-03-12,Asceneuron SA,2'100'000,Award,Lausanne,asceneuron sa,asceneuron sa,1116081.0,CHE181731651,Ecublens (VD)
2021-03-12,Monte Rosa Therapeutics AG,89'252'500,Equity,Basel,monte rosa therapeutics ag,monte rosa therapeutics ag,1345918.0,CHE405675696,Basel
2021-03-15,Farmer Connect SA,8'465'535,Equity,Geneva 1201,farmer connect sa,farmer connect sa,1379621.0,CHE359381717,Genève
2021-03-15,rqmicro AG,6'000'000,Equity,Schlieren,rqmicro ag,rqmicro ag,1139718.0,CHE412218826,Schlieren
2021-03-15,THE EMBASSIES OF GOOD LIVING AG,Undisclosed,Equity,Zurich,the embassies of good living ag,the embassies of good living ag,1374559.0,CHE313521037,Zürich
2021-03-15,KOVE medical AG,500'000,Convertible loan,Zürich,kove medical ag,kove medical ag,1460348.0,CHE371219996,Zürich
2021-03-17,NaturLoop AG,100'000,Convertible loan,Biel,naturloop ag,naturloop ag,1449406.0,CHE480397752,Biel/Bienne
2021-03-17,matriq AG,100'000,Convertible loan,St. Gallen,matriq ag,matriq ag,1412516.0,CHE390940924,St. Gallen
2021-03-17,Nanoleq AG,Undisclosed,Equity,Rümlang,nanoleq ag,nanoleq ag,1305859.0,CHE195398322,Rümlang
2021-03-19,GT Gain Therapeutics SA,43'252'880,Equity,Lugano,gt gain therapeutics sa,gt gain therapeutics sa,1307594.0,CHE438987642,Lugano
