model,metric,metric_value,target,mean_ap_website,mean_ap_base,p_value,ci_lower_99,ci_upper_99,ci_lower_95,ci_upper_95,ci_lower_90,ci_upper_90
founding_dim300_w,all_pr_auc,0.11016540675558004,target_inv_exit,0.11016540675558004,0.10991267003816105,0.9695926218689945,-0.018607845274459744,0.019113318709297722,-0.013500699394251976,0.014006172829089954,-0.011095028685772057,0.011600502120610034
founding_dim300_w,all_roc_auc,0.8062631984580001,target_acquisition,0.8062631984580001,0.8066552406898385,0.9854250325812198,-0.06176454084564298,0.06098045638196614,-0.04504296952753396,0.044258885063857126,-0.037199598922428245,0.03641551445875141
founding_dim300_w,all_pr_auc,0.06254599746916838,target_acquisition,0.06254599746916838,0.07272064247050883,0.6994190972145458,-0.08531176812610475,0.06496247812342384,-0.06485702014110384,0.044507730138422935,-0.05525707530908932,0.034907785306408416
founding_dim300_w,all_roc_auc,0.9323212885716423,target_non_gov_investment,0.9323212885716423,0.9174485679174917,0.04805453706935335,-0.005403711759624268,0.03514915306792542,0.0001433916065169561,0.02960204970178419,0.0027380371305909795,0.027007404177710165
founding_dim300_w,all_pr_auc,0.27762826289270004,target_non_gov_investment,0.27762826289270004,0.25011727792439287,0.4622399282545645,-0.07791075580582396,0.1329327257424383,-0.049432469076107904,0.10445443901272225,-0.03599612693460803,0.09101809687122238
founding_dim300_w,all_roc_auc,0.8683698694966988,target_inno_subsidy,0.8683698694966988,0.8574718763056832,0.2751354208233253,-0.017008635597773047,0.03880462197980422,-0.00945645609353686,0.031252442475568035,-0.0058976321780475904,0.027693618560078764
founding_dim300_w,all_pr_auc,0.19159876215794874,target_inno_subsidy,0.19159876215794874,0.15437729122909943,0.03488451544595012,-0.01014423449845473,0.08458717635615334,0.0030327778749766263,0.07141016398272199,0.009125584438648662,0.06531735741904995
current_base,all_roc_auc,0.6809590589420973,target_inv_exit,0.6809590589420973,0.6809590589420973,1.0,-0.0278401389290868,0.0278401389290868,-0.020320017743618204,0.020320017743618204,-0.016771780475485693,0.016771780475485693
current_base,all_pr_auc,0.06300567529470319,target_inv_exit,0.06300567529470319,0.06300567529470319,1.0,-0.007674440776590421,0.007674440776590421,-0.005601436585854698,0.005601436585854698,-0.0046233259217903075,0.0046233259217903075
current_base,all_roc_auc,0.812423270574634,target_acquisition,0.812423270574634,0.812423270574634,1.0,-0.08312804641340277,0.08312804641340277,-0.060673669137040795,0.060673669137040795,-0.05007896509973734,0.05007896509973734
current_base,all_pr_auc,0.05990632843764955,target_acquisition,0.05990632843764955,0.05990632843764955,1.0,-0.062104034118080444,0.062104034118080444,-0.045328619891016435,0.045328619891016435,-0.037413434951730135,0.037413434951730135
current_base,all_roc_auc,0.9174889107227984,target_non_gov_investment,0.9174889107227984,0.9174889107227984,1.0,-0.02087549140337032,0.02087549140337032,-0.015236646512566388,0.015236646512566388,-0.01257605646390717,0.01257605646390717
current_base,all_pr_auc,0.24473320263689918,target_non_gov_investment,0.24473320263689918,0.24473320263689918,1.0,-0.08037950163386064,0.08037950163386064,-0.05866755563194353,0.05866755563194353,-0.04842315476822493,0.04842315476822493
current_base,all_roc_auc,0.8714971374040978,target_inno_subsidy,0.8714971374040978,0.8714971374040978,1.0,-0.01971980261785512,0.01971980261785512,-0.014393130009736218,0.014393130009736218,-0.011879832976732303,0.011879832976732303
current_base,all_pr_auc,0.17652500070572394,target_inno_subsidy,0.17652500070572394,0.17652500070572394,1.0,-0.04603416440000131,0.04603416440000131,-0.03359951039767843,0.03359951039767843,-0.0277324370275535,0.0277324370275535
current_doc2vec,all_roc_auc,0.705245407281466,target_inv_exit,0.705245407281466,0.6809590589420973,0.041063628631143705,-0.007545582109897274,0.0561182787886347,0.001105680574955071,0.04746701610378236,0.0051705699979631425,0.04340212668077428
current_doc2vec,all_pr_auc,0.07448474513630679,target_inv_exit,0.07448474513630679,0.06300567529470319,0.029410877205521928,-0.002686330039707783,0.025644469722914984,0.001352460627985972,0.02160567905522123,0.0031882982243036755,0.019769841458903526
current_doc2vec,all_roc_auc,0.803405009944045,target_acquisition,0.803405009944045,0.812423270574634,0.7594780286316454,-0.09252444006737824,0.07448791880620008,-0.06996770175648404,0.05193118049530588,-0.05932477141490242,0.04128825015372426
current_doc2vec,all_pr_auc,0.05228377614715285,target_acquisition,0.05228377614715285,0.05990632843764955,0.698359521226376,-0.06367607963335958,0.04843097505236619,-0.04842564739339124,0.03318054281239784,-0.04126528646649523,0.026020181885501828
current_doc2vec,all_roc_auc,0.9443620493857325,target_non_gov_investment,0.9443620493857325,0.9174889107227984,0.0006627185642384239,0.008145477702969493,0.04560079962289885,0.013246244197826055,0.04050003312804229,0.015639365538190904,0.03810691178767744
current_doc2vec,all_pr_auc,0.29975993390824124,target_non_gov_investment,0.29975993390824124,0.24473320263689918,0.11805380328670617,-0.042043304207584564,0.15209676675026867,-0.015538511640270827,0.12559197418295492,-0.003124590327963951,0.11317805287064805
current_doc2vec,all_roc_auc,0.8830945383189901,target_inno_subsidy,0.8830945383189901,0.8714971374040978,0.15656058639783113,-0.011071057770069545,0.03426585959985405,-0.004907646100699915,0.02810244793048442,-0.0020125332953819797,0.025207335125166486
current_doc2vec,all_pr_auc,0.20216034262061983,target_inno_subsidy,0.20216034262061983,0.17652500070572394,0.17577350974990988,-0.02691996819351611,0.07819065202330788,-0.012638185478717548,0.06390886930850932,-0.005927199519338795,0.05719788334913057
current_dim768,all_roc_auc,0.7050532705380389,target_inv_exit,0.7050532705380389,0.6809590589420973,0.02153035040616017,-0.003459607567919753,0.05164803075980297,0.003983567976762397,0.04420485521512081,0.007495372867788466,0.040693050324094746
current_dim768,all_pr_auc,0.07968306562452607,target_inv_exit,0.07968306562452607,0.06300567529470319,0.014312605650787432,-0.001147919970505784,0.03450270063015154,0.004033142644496331,0.029321638015149424,0.006356572140587243,0.026998208519058514
current_dim768,all_roc_auc,0.8086473488666032,target_acquisition,0.8086473488666032,0.812423270574634,0.898144788109712,-0.08749629586075376,0.07994445244469202,-0.06488138311353125,0.05732953969746952,-0.05421110605500678,0.046659262638945036
current_dim768,all_pr_auc,0.061066558775232004,target_acquisition,0.061066558775232004,0.05990632843764955,0.9634825719987743,-0.07125138199767808,0.07357184267284297,-0.05154034376699531,0.053860804442160216,-0.04228888310837631,0.044609343783541214
current_dim768,all_roc_auc,0.944138534333837,target_non_gov_investment,0.944138534333837,0.9174889107227984,0.0017932825588580707,0.005688025642410707,0.04761122157966653,0.011350175051939524,0.04194907217013771,0.014021746259854298,0.03927750096222294
current_dim768,all_pr_auc,0.3047568550028061,target_non_gov_investment,0.3047568550028061,0.24473320263689918,0.0696692770465388,-0.029723546627897238,0.14977085135971102,-0.005374693179167736,0.12542199791098152,0.006079553059296416,0.11396775167251738
current_dim768,all_roc_auc,0.8869643641403278,target_inno_subsidy,0.8869643641403278,0.8714971374040978,0.04355452819429019,-0.005045494715438397,0.03597994818789822,0.0004990698035388826,0.03043538366892094,0.003113981176976593,0.027820472295483227
current_dim768,all_pr_auc,0.21010225834301152,target_inno_subsidy,0.21010225834301152,0.17652500070572394,0.08623752138985666,-0.019867354492854407,0.08702186976742957,-0.005324461977664556,0.07247897725223973,0.0015029681432057601,0.0656515471313694
current_dim768_w,all_roc_auc,0.7106794296672608,target_inv_exit,0.7106794296672608,0.6809590589420973,0.007034982589009747,0.0015852774817570088,0.05785546396857007,0.009185464901972314,0.05025527654835476,0.01277135331297944,0.04666938813734763
current_dim768_w,all_pr_auc,0.08391648974276254,target_inv_exit,0.08391648974276254,0.06300567529470319,0.007709159791695814,0.000947102349310381,0.04087452654680833,0.0067945402981311,0.03502708859798761,0.009402571542924983,0.032419057353193725
current_dim768_w,all_roc_auc,0.8108825421425532,target_acquisition,0.8108825421425532,0.812423270574634,0.9578916851475756,-0.08437500180659382,0.0812935449424321,-0.061999841616641196,0.05891838475247947,-0.051442558622822356,0.04836110175866063
current_dim768_w,all_pr_auc,0.06762063316857633,target_acquisition,0.06762063316857633,0.05990632843764955,0.7565532716443768,-0.06318728359405049,0.07861589305590405,-0.04391994328105286,0.05934855274290642,-0.034866251888292246,0.05029486135014581
current_dim768_w,all_roc_auc,0.9445684069548801,target_non_gov_investment,0.9445684069548801,0.9174889107227984,0.0007086859880997623,0.008028846492254854,0.04613014597190859,0.013203046011413274,0.04095594645275017,0.015635283636207465,0.038523708827955985
current_dim768_w,all_pr_auc,0.31001939165263537,target_non_gov_investment,0.31001939165263537,0.24473320263689918,0.04659738024191237,-0.022758450504057337,0.1533308285355297,0.0010986237053590558,0.1294737543261133,0.012331121525056714,0.11824125650641565
current_dim768_w,all_roc_auc,0.8855935405198061,target_inno_subsidy,0.8855935405198061,0.8714971374040978,0.0632099596957757,-0.006402693358296515,0.03459549958971303,-0.000861929247492229,0.02905473547890874,0.0017512276190294676,0.026441578612387044
current_dim768_w,all_pr_auc,0.2020001460244206,target_inno_subsidy,0.2020001460244206,0.17652500070572394,0.12206294024075343,-0.01972180401782761,0.07067209465522092,-0.007511206665985405,0.05846149730337872,-0.0017505230721429968,0.05270081370953631
current_dim300_w,all_roc_auc,0.7112818093049883,target_inv_exit,0.7112818093049883,0.6809590589420973,0.005178594009393574,0.002881156083500463,0.05776434464228154,0.010294397011450782,0.05035110371433123,0.013791955715133447,0.04685354501064856
current_dim300_w,all_pr_auc,0.08211429386143354,target_inv_exit,0.08211429386143354,0.06300567529470319,0.004921522355044431,0.0021589501345679225,0.03605828699889278,0.007066806675599177,0.031150430457861526,0.009273625665836362,0.02894361146762434
current_dim300_w,all_roc_auc,0.807053201872755,target_acquisition,0.807053201872755,0.812423270574634,0.8572001346562224,-0.09006167940532821,0.07932154200157009,-0.06718133313158395,0.05644119572782582,-0.05638680865254085,0.04564667124878273
current_dim300_w,all_pr_auc,0.06266662097581434,target_acquisition,0.06266662097581434,0.05990632843764955,0.900320955531952,-0.05978537603626785,0.06530596111259743,-0.042890268732393606,0.04841085380872318,-0.034918737317960434,0.04043932239429001
current_dim300_w,all_roc_auc,0.9440664344375863,target_non_gov_investment,0.9440664344375863,0.9174889107227984,0.0014448143340754281,0.006215634670092247,0.04693941275948364,0.011717516718605402,0.041437530710970484,0.014312913546546555,0.03884213388302933
current_dim300_w,all_pr_auc,0.3100866076594528,target_non_gov_investment,0.3100866076594528,0.24473320263689918,0.08607951827207098,-0.03915903541698114,0.16986584546208833,-0.010415751994206357,0.14112256203931356,0.0029801833364506217,0.1277266267086566
current_dim300_w,all_roc_auc,0.8869999052639986,target_inno_subsidy,0.8869999052639986,0.8714971374040978,0.04526001991374164,-0.005245556735323238,0.03625109245512482,0.00036499596302000566,0.030640539756781576,0.003010286852784561,0.02799524886701702
current_dim300_w,all_pr_auc,0.20457429687802814,target_inno_subsidy,0.20457429687802814,0.17652500070572394,0.13956941547210516,-0.02436096098312599,0.08045955332773438,-0.010121614417187078,0.06622020676179548,-0.003429599370420859,0.05952819171502926
